DataId,ClienteId,ProdutoId,Quantidade,PrecoUnitario,PercentagemDesconto,ValorTotal,Canal
2022-02-23,100,172,2,575.82,26.00,1151.63,Online
2022-06-02,102,166,4,95.18,7.00,380.70,Online
2022-04-29,103,135,3,284.75,10.00,854.24,Online
2023-09-14,103,25,3,495.92,42.00,1487.77,Online
2024-08-22,103,58,3,264.26,4.00,792.79,Online
2023-10-22,104,106,2,712.33,43.00,1424.66,Online
2024-07-17,104,77,5,255.37,45.00,1276.86,Online
2024-07-18,104,109,2,194.42,45.00,388.84,Online
2025-01-18,104,66,1,848.38,33.00,848.38,Online
2021-12-06,105,97,1,1147.35,5.00,1147.35,Online
2023-09-14,106,154,1,402.74,34.00,402.74,Online
2022-09-11,107,52,3,39.50,44.00,118.51,Online
2022-10-26,107,106,2,364.13,12.00,728.25,Online
2022-11-06,107,110,3,397.06,11.00,1191.17,Online
2021-08-16,108,140,1,1429.08,19.00,1429.08,Online
2025-03-01,108,4,2,509.05,1.00,1018.10,Online
2025-03-18,108,138,5,44.90,47.00,224.52,Online
2021-10-14,109,72,5,169.74,29.00,848.69,Online
2023-07-06,109,163,3,83.73,23.00,251.19,Online
2021-03-24,110,60,3,401.48,35.00,1204.44,Online
2021-07-22,111,44,3,458.21,39.00,1374.63,Online
2021-09-08,111,90,4,138.37,5.00,553.48,Online
2021-05-08,112,5,4,65.73,14.00,262.92,Online
2022-03-02,112,43,4,334.26,1.00,1337.02,Online
2022-04-21,112,37,5,290.35,36.00,1451.74,Online
2022-11-03,112,164,1,1031.50,33.00,1031.50,Online
2022-11-28,114,33,3,245.72,21.00,737.16,Online
2023-10-30,114,113,5,119.41,32.00,597.03,Online
2024-02-06,114,29,5,193.01,26.00,965.05,Online
2025-02-01,115,79,4,203.68,40.00,814.72,Online
2021-01-04,116,76,3,424.73,35.00,1274.18,Online
2022-06-23,116,93,2,196.72,13.00,393.43,Online
2022-12-18,116,111,4,70.90,21.00,283.60,Online
2023-10-20,116,123,2,184.57,10.00,369.13,Online
2024-10-31,116,11,5,72.23,6.00,361.16,Online
2022-06-12,118,65,4,134.86,46.00,539.43,Online
2023-11-05,118,152,4,254.03,7.00,1016.11,Online
2024-07-03,118,63,1,1079.78,16.00,1079.78,Online
2024-09-18,118,48,3,394.22,19.00,1182.65,Online
2024-12-04,118,32,3,379.29,41.00,1137.88,Online
2025-01-22,118,107,4,335.30,25.00,1341.19,Online
2022-09-05,119,64,4,38.22,32.00,152.88,Online
2025-01-04,119,18,5,64.43,47.00,322.14,Online
2021-07-28,120,88,2,62.07,41.00,124.14,Online
2023-02-04,120,103,3,33.58,0.00,100.74,Online
2023-12-26,121,94,5,200.76,45.00,1003.78,Online
2021-06-29,122,53,1,83.76,5.00,83.76,Online
2024-04-07,122,105,1,280.82,30.00,280.82,Online
