VendaId,DataId,ClienteId,ProdutoId,Quantidade,PrecoUnitario,PercentagemDesconto,ValorTotal,Canal
1,2021-02-02,100,63,3,22.94,10.00,68.83,Online
2,2021-02-04,100,165,3,48.95,50.00,146.84,Online
3,2021-02-05,100,13,1,58.26,0.00,58.26,Online
4,2021-02-06,100,91,1,58.26,10.00,58.26,Online
5,2021-02-09,100,137,3,19.42,4.00,58.26,Online
6,2021-02-15,100,47,2,266.99,8.00,533.98,Online
7,2021-10-27,100,89,1,274.72,10.00,274.72,Online
8,2022-06-17,100,74,2,396.96,0.00,793.91,Online
9,2023-11-10,100,38,2,29.13,10.00,58.26,Online
10,2024-04-14,100,121,2,34.94,7.00,69.87,Online
11,2025-02-17,100,72,5,16.21,25.00,81.05,Online
12,2021-03-20,101,10,3,12.60,50.00,37.81,Online
13,2021-05-11,101,52,1,37.81,0.00,37.81,Online
14,2021-05-18,101,60,1,708.86,10.00,708.86,Online
15,2021-07-02,101,110,1,115.36,50.00,115.36,Online
16,2021-07-23,101,58,1,162.16,50.00,162.16,Online
17,2021-10-31,101,15,4,93.76,25.00,375.04,Online
18,2022-03-22,101,72,1,149.69,0.00,149.69,Online
19,2023-07-02,101,67,3,39.56,10.00,118.69,Online
20,2023-07-06,101,21,1,94.49,10.00,94.49,Online
21,2023-10-11,101,14,2,47.41,0.00,94.82,Online
22,2023-10-31,101,158,1,629.68,24.00,629.68,Online
23,2024-10-21,101,162,2,65.85,0.00,131.70,Online
24,2024-11-19,101,12,2,18.91,0.00,37.81,Online
25,2025-01-01,101,117,2,37.18,3.00,74.36,Online
40,2021-01-29,103,101,1,126.67,1.00,126.67,Online
41,2021-10-27,103,67,2,20.21,25.00,40.41,Online
42,2022-01-15,103,15,1,202.33,30.00,202.33,Online
43,2022-01-28,103,41,2,68.43,10.00,136.85,Online
44,2022-04-25,103,104,1,332.10,24.00,332.10,Online
45,2023-05-26,103,160,1,123.71,0.00,123.71,Online
46,2023-12-08,103,37,3,16.09,10.00,48.26,Online
47,2024-03-21,103,137,1,94.70,25.00,94.70,Online
48,2024-07-29,103,27,1,46.28,10.00,46.28,Online
49,2024-07-31,103,61,2,100.09,50.00,200.17,Online
50,2021-11-10,104,139,3,11.37,0.00,34.11,Online
51,2022-07-22,104,139,1,34.11,25.00,34.11,Online
52,2023-11-12,104,79,4,15.70,29.00,62.79,Online
53,2023-11-13,104,72,2,73.75,10.00,147.50,Online
54,2023-11-14,104,38,4,8.53,0.00,34.11,Online
55,2021-01-17,105,166,6,5.03,50.00,30.18,Online
56,2021-03-13,105,122,1,70.98,25.00,70.98,Online
57,2022-01-23,105,148,4,59.21,0.00,236.82,Online
