VendaId,DataId,ClienteId,ProdutoId,Quantidade,PrecoUnitario,PercentagemDesconto,ValorTotal,Canal
1,2012-11-24,453,64,3,84.55,4.00,253.65,"Loja Física"
2,2010-11-24,113,140,5,161.37,25.00,806.85,"Loja Física"
3,2010-07-07,202,27,4,62.03,13.00,248.11,"Loja Física"
4,2019-05-10,560,123,5,214.03,49.00,1070.15,"Loja Física"
5,2019-04-15,168,21,4,129.40,29.00,517.58,"Loja Física"
6,2015-11-16,756,105,5,116.67,6.00,583.37,"Loja Física"
7,2013-08-26,161,113,4,67.96,38.00,271.85,"Loja Física"
8,2017-08-27,212,149,2,427.72,6.00,855.43,"Loja Física"
9,2019-04-28,991,80,1,642.36,0.00,642.36,"Loja Física"
10,2018-11-20,204,4,3,377.66,47.00,1132.99,"Loja Física"
11,2017-03-09,111,108,1,811.91,7.00,811.91,"Loja Física"
12,2019-11-23,662,65,3,39.32,36.00,117.96,"Loja Física"
13,2020-01-15,391,151,5,148.26,47.00,741.31,"Loja Física"
14,2016-08-24,597,126,4,107.10,21.00,428.38,"Loja Física"
15,2010-05-01,173,151,4,321.66,46.00,1286.63,"Loja Física"
16,2016-11-05,741,78,1,1212.81,24.00,1212.81,"Loja Física"
17,2017-08-17,122,133,2,23.01,17.00,46.01,"Loja Física"
18,2015-04-12,170,54,1,1489.99,23.00,1489.99,"Loja Física"
19,2013-01-07,169,60,3,277.65,49.00,832.96,"Loja Física"
20,2019-04-13,209,106,5,166.40,3.00,831.99,"Loja Física"
21,2017-09-11,182,48,2,423.00,20.00,846.00,"Loja Física"
22,2015-08-31,341,143,1,1270.31,4.00,1270.31,"Loja Física"
23,2017-07-11,172,26,2,716.32,32.00,1432.63,"Loja Física"
24,2011-03-31,189,106,4,351.25,29.00,1404.98,"Loja Física"
25,2012-08-17,109,74,2,734.00,6.00,1468.00,"Loja Física"
26,2016-04-15,639,7,5,211.77,36.00,1058.86,"Loja Física"
27,2015-10-01,492,114,2,669.42,26.00,1338.83,"Loja Física"
28,2011-11-07,200,52,4,118.48,14.00,473.93,"Loja Física"
29,2010-04-19,328,86,5,189.89,46.00,949.47,"Loja Física"
30,2020-12-25,171,75,5,232.93,12.00,1164.64,"Loja Física"
31,2017-05-17,226,28,3,228.76,39.00,686.29,"Loja Física"
32,2019-11-04,206,133,1,474.80,27.00,474.80,"Loja Física"
33,2015-02-08,198,84,1,748.90,22.00,748.90,"Loja Física"
34,2020-01-15,106,13,4,181.30,22.00,725.20,"Loja Física"
35,2020-03-14,996,153,3,227.33,44.00,681.99,"Loja Física"
36,2011-01-01,166,34,3,338.11,21.00,1014.32,"Loja Física"
37,2015-11-17,204,110,2,39.82,26.00,79.63,"Loja Física"
38,2011-05-27,141,86,2,518.41,0.00,1036.81,"Loja Física"
39,2017-04-15,141,82,5,238.00,14.00,1190.00,"Loja Física"
40,2015-02-14,165,68,5,26.02,34.00,130.12,"Loja Física"
41,2015-05-15,602,26,1,1330.09,8.00,1330.09,"Loja Física"
42,2013-07-01,128,43,2,228.99,1.00,457.97,"Loja Física"
43,2016-07-17,718,53,1,1354.31,14.00,1354.31,"Loja Física"
44,2016-10-18,125,128,4,85.62,50.00,342.48,"Loja Física"
45,2015-11-06,103,48,5,124.04,38.00,620.22,"Loja Física"
46,2017-12-22,857,73,3,65.91,47.00,197.72,"Loja Física"
47,2020-05-27,512,78,2,483.22,46.00,966.43,"Loja Física"
48,2016-09-28,120,100,2,107.09,46.00,214.17,"Loja Física"
49,2018-08-13,128,108,3,103.82,8.00,311.47,"Loja Física"
50,2019-09-15,519,113,1,962.31,37.00,962.31,"Loja Física"
51,2013-05-29,101,118,3,91.94,4.00,275.82,"Loja Física"
52,2018-03-28,187,51,3,59.18,32.00,177.54,"Loja Física"
53,2017-02-05,136,128,1,1321.87,4.00,1321.87,"Loja Física"
54,2018-04-18,669,45,3,452.88,17.00,1358.64,"Loja Física"
55,2012-09-15,690,72,1,239.12,22.00,239.12,"Loja Física"
56,2020-02-22,165,46,1,1036.48,48.00,1036.48,"Loja Física"
57,2016-12-20,813,84,4,284.65,34.00,1138.60,"Loja Física"
58,2010-10-07,182,83,4,298.25,29.00,1193.01,"Loja Física"
59,2019-02-24,839,94,5,248.72,5.00,1243.60,"Loja Física"
60,2013-02-11,843,131,3,398.04,7.00,1194.11,"Loja Física"
61,2016-12-08,193,100,2,440.39,32.00,880.78,"Loja Física"
62,2012-08-30,105,127,3,379.21,3.00,1137.64,"Loja Física"
63,2018-12-11,565,79,2,644.49,1.00,1288.97,"Loja Física"
64,2012-12-22,119,50,3,386.91,6.00,1160.73,"Loja Física"
65,2015-11-27,126,76,3,440.51,33.00,1321.53,"Loja Física"
66,2017-12-17,802,142,1,890.40,16.00,890.40,"Loja Física"
67,2011-07-24,163,150,3,294.36,42.00,883.08,"Loja Física"
68,2010-06-27,182,62,5,38.99,32.00,194.94,"Loja Física"
69,2019-02-03,200,111,4,188.93,11.00,755.72,"Loja Física"
